,critic,actor,cum_rewards,tau,theta
0,13.526459884643554,0.02409818585496396,-1704.8729055348308,1.0,1.0
1,34.99543153762817,0.3490249612927437,-1569.4173628535652,1.0,1.0
2,32.98042986869812,1.0423967403173446,-1677.1181591479326,1.0,1.0
3,30.989003000259398,2.4860231935977937,-1181.7459947678558,1.0,1.0
4,29.389153900146486,6.1069836890697475,-1627.8488337814883,1.0,1.0
5,31.059466524124147,11.93559769630432,-1898.5116227897215,1.0,1.0
6,31.949876842498778,17.810505356788635,-1737.87701634325,1.0,1.0
7,33.43429620742798,24.835936002731323,-1927.6039080880535,1.0,1.0
8,36.6850164604187,33.15567529678345,-1926.4773369532895,1.0,1.0
9,38.18637223243714,42.594325351715085,-1845.0603375826524,1.0,1.0
10,41.1687703704834,53.63862819671631,-1846.8871491306911,1.0,1.0
11,47.06987363815308,66.19970014572144,-1834.666813105616,1.0,1.0
12,53.86348373413086,79.78175300598144,-1716.7661879432205,1.0,1.0
13,63.29962194442749,94.93314460754395,-1826.0111223571068,1.0,1.0
14,71.81607440948487,111.7210503768921,-1791.9227498397092,1.0,1.0
15,103.02927780151367,129.29383152008057,-1772.8550164273984,1.0,1.0
16,109.32280866622925,147.93070381164551,-1796.9554368005388,1.0,1.0
17,131.4446197319031,167.13965293884277,-1746.4550000072481,1.0,1.0
18,141.28546836853027,187.70330642700196,-1660.8293795333066,1.0,1.0
19,187.52298503875733,207.41311630249024,-1543.016511957661,1.0,1.0
20,192.8748980331421,225.86855667114258,-1586.5782192136553,1.0,1.0
21,207.70139991760254,245.98856323242188,-1559.139549788866,1.0,1.0
22,270.39804412841795,263.5535704803467,-1563.0288466509878,1.0,1.0
23,300.9010686683655,277.3588293457031,-1524.245529175716,1.0,1.0
24,300.31617115020754,289.16697174072266,-1542.4029331089996,1.0,1.0
25,311.9442818069458,299.819596862793,-1512.2958939866614,1.0,1.0
26,297.30609544754026,307.82167709350585,-1528.7020338594393,1.0,1.0
27,322.3601498413086,315.09288787841797,-1525.793437557706,1.0,1.0
28,353.06332441329954,316.2523858642578,-1514.7671487060886,1.0,1.0
29,339.4718817710876,317.7242956542969,-1517.2066916735066,1.0,1.0
