,critic,actor,tau,theta
0,11.827541246414185,0.0006953572941711172,0.05,1.0
1,34.17022339820862,0.2863989463634789,0.05,1.0
2,31.551303339004516,1.9293654596805572,0.05,1.0
3,30.33486647605896,5.925352571010589,0.05,1.0
4,28.83410761833191,9.648142552375793,0.05,1.0
5,28.58004825592041,13.82462634563446,0.05,1.0
6,28.803915948867797,18.558644461631776,0.05,1.0
7,30.193629245758057,24.68154267311096,0.05,1.0
8,31.016378889083864,31.562710103988646,0.05,1.0
9,32.828456993103025,40.79650545120239,0.05,1.0
10,34.46636120796204,50.63381414413452,0.05,1.0
11,36.21684241294861,62.496235637664796,0.05,1.0
12,42.05670853614807,75.67774635314942,0.05,1.0
13,46.16813694000244,90.39945766448974,0.05,1.0
14,53.396158924102785,107.24615741729737,0.05,1.0
15,73.62947051048279,124.23945411682129,0.05,1.0
16,85.16294719696045,142.76156150817872,0.05,1.0
17,103.24956743240357,161.79436210632323,0.05,1.0
18,111.14754779815674,180.65787651062013,0.05,1.0
19,137.496103515625,199.4504872894287,0.05,1.0
20,138.61872373580934,217.79427940368652,0.05,1.0
21,165.70738753318787,235.92537033081055,0.05,1.0
22,229.38423129081727,252.50836883544923,0.05,1.0
23,238.17117113113403,265.11328620910643,0.05,1.0
24,238.55896120071412,275.6519313049316,0.05,1.0
25,269.80797994613647,285.78947662353517,0.05,1.0
26,255.27262258529663,293.0249674987793,0.05,1.0
27,275.24413387298586,300.4291142272949,0.05,1.0
28,314.6723573207855,306.47407958984377,0.05,1.0
29,318.8298785018921,309.70417083740233,0.05,1.0
30,284.7400782108307,314.0916632080078,0.05,1.0
31,332.3255461215973,318.85434829711915,0.05,1.0
32,312.1251093673706,322.22102935791014,0.05,1.0
33,338.67857478141786,324.20646926879886,0.05,1.0
34,350.96801647186277,324.8376467895508,0.05,1.0
35,335.3447602748871,327.1563069152832,0.05,1.0
36,317.09528504371644,329.4150024414063,0.05,1.0
37,341.4194974517822,329.3901722717285,0.05,1.0
