,critic,actor,cum_rewards,tau,theta
0,9.249703502655029,-0.041460250839591026,-1330.7269158522017,0.05,1.0
1,26.83319863319397,0.4312077351679909,-1491.893180466137,0.05,1.0
2,28.567341480255127,2.594569370150566,-1287.2739653658525,0.05,1.0
3,26.209713840484618,5.541665426492691,-1646.1197517097553,0.05,1.0
4,24.815322122573853,9.861263146400452,-1543.7403174044432,0.05,1.0
5,21.780316228866578,14.66561628818512,-1541.1402768709381,0.05,1.0
6,18.821634283065794,18.290262999534608,-1512.4494122161022,0.05,1.0
7,17.559966163635252,22.25649516105652,-1598.9962876748216,0.05,1.0
8,18.813354830741883,26.27132103919983,-1848.5355002116025,0.05,1.0
9,20.385236649513246,30.79485300064087,-1577.0690699884706,0.05,1.0
10,22.357221751213075,35.701989030838014,-1898.6991993478243,0.05,1.0
11,24.43453691482544,41.395813903808595,-1872.4538071257846,0.05,1.0
12,28.63180541038513,48.48331544876098,-1684.2327096373765,0.05,1.0
13,30.897033042907715,56.48156114578247,-1538.521447803651,0.05,1.0
14,34.47468976974487,65.58759757995605,-1818.142983710444,0.05,1.0
15,40.56140692710876,76.10527679443359,-1511.531943971977,0.05,1.0
16,48.954902505874635,87.88926933288575,-1745.337321904273,0.05,1.0
17,55.55424345970154,101.60003688812256,-1892.6527329345754,0.05,1.0
18,62.43764597892761,115.96244102478028,-1813.3773865156793,0.05,1.0
19,79.2060971069336,131.78892391204835,-1711.216640436373,0.05,1.0
20,82.61766938209534,149.25795700073243,-1715.196239650336,0.05,1.0
21,104.47259573936462,166.15338851928712,-1419.6358272975506,0.05,1.0
22,139.11088841438294,182.92332305908204,-1445.1036222371636,0.05,1.0
23,154.8475997066498,199.32759391784668,-1454.9753792737324,0.05,1.0
24,174.91249170303345,214.7222509765625,-1244.96633627814,0.05,1.0
25,203.36494653701783,231.41467582702637,-1499.3918053610146,0.05,1.0
26,202.8180758857727,248.6129035949707,-1495.3599340392836,0.05,1.0
27,238.25934490203858,264.2416163635254,-1161.5611862835062,0.05,1.0
28,302.62603515625,278.2105581665039,-1296.5119935002426,0.05,1.0
29,321.4015521621704,291.15368270874023,-1531.078189204396,0.05,1.0
30,301.28330675125125,303.57050521850584,-1557.6079079468866,0.05,1.0
31,371.8160761642456,315.8024983215332,-1172.8585772207362,0.05,1.0
32,368.2935188865662,325.8097312927246,-1370.104439666,0.05,1.0
33,426.17515876770017,336.07704208374025,-1600.5749167892786,0.05,1.0
34,475.22586597442626,345.14865539550783,-1604.450692523697,0.05,1.0
35,477.7822890853882,352.0167492675781,-1084.6442944541745,0.05,1.0
36,467.77370784759523,357.15162689208984,-1481.4667768028703,0.05,1.0
37,516.5041971969605,362.1491687011719,-1083.650783727222,0.05,1.0
38,552.3055428695678,365.8645570373535,-1119.680330167294,0.05,1.0
39,556.5800918579101,366.086434173584,-1240.603439682825,0.05,1.0
40,604.3248913192749,369.1703744506836,-1631.5097074784705,0.05,1.0
41,590.1541982269287,371.2462594604492,-1508.5354560287124,0.05,1.0
42,536.8255659103394,374.068376159668,-1514.03222263728,0.05,1.0
43,581.4973711776734,376.67626663208006,-1247.5651406938323,0.05,1.0
44,583.3759433746338,378.05119873046874,-1382.421418947766,0.05,1.0
45,565.1794940567016,376.55127197265625,-1176.7008766158,0.05,1.0
46,596.7220895385742,377.4231736755371,-1398.9811960632069,0.05,1.0
47,597.1866967010498,376.96679306030273,-1300.2573896334288,0.05,1.0
48,600.1582663345337,376.5491584777832,-1653.088019876438,0.05,1.0
49,571.485733680725,376.4788435363769,-1266.2377565106099,0.05,1.0
50,586.4893779754639,375.88725708007814,-1505.358291932624,0.05,1.0
51,582.4388767623901,375.64728302001953,-1681.4047465124518,0.05,1.0
52,555.0499632644653,375.98130264282224,-1485.4935094999053,0.05,1.0
53,585.310384979248,376.71100524902346,-1599.938593525506,0.05,1.0
54,602.7623699188232,374.8358343505859,-1514.1341439671755,0.05,1.0
55,509.51175468444825,373.56923446655276,-1580.2865887122912,0.05,1.0
56,526.298419265747,372.7006723022461,-1384.2600715896479,0.05,1.0
57,607.6766457748413,373.08361251831053,-1560.3861777437223,0.05,1.0
58,492.46903533935546,371.254506072998,-1581.360798102452,0.05,1.0
59,598.9811489105225,371.41702590942384,-1483.965257406998,0.05,1.0
60,584.4606094360352,368.69572082519534,-1587.458400746506,0.05,1.0
61,560.2499760437012,366.0737635803223,-1369.222649562727,0.05,1.0
62,603.3298011016846,364.6096765136719,-1592.7351282198472,0.05,1.0
63,588.4521899414062,363.2278135681152,-1560.0565199673583,0.05,1.0
64,564.6087216567993,360.7882536315918,-1442.8694990810222,0.05,1.0
65,538.3773173522949,361.0882258605957,-1636.8008755990065,0.05,1.0
66,524.5563957977295,360.6891226196289,-1493.6867265543774,0.05,1.0
67,558.1114810180665,358.90186309814453,-1398.4775796600034,0.05,1.0
68,540.3551976013183,358.41553634643554,-1554.0354186660602,0.05,1.0
69,520.4600422668457,357.84305099487307,-1414.4631609210437,0.05,1.0
70,534.3338388061524,358.16619262695315,-1537.7371770731816,0.05,1.0
71,509.0132187652588,356.7145085144043,-1519.1701754144983,0.05,1.0
72,497.7779272079468,354.16272964477537,-1498.519249756613,0.05,1.0
73,451.9058406448364,352.4765258789063,-1495.1269777643724,0.05,1.0
74,442.83314281463623,350.76046295166014,-1418.519130777267,0.05,1.0
75,408.2022946929932,349.4395576477051,-1433.9840426647438,0.05,1.0
76,409.5936441040039,349.50675720214844,-1542.7592020904174,0.05,1.0
77,409.07373195648194,348.0073616027832,-1268.3673961328668,0.05,1.0
78,371.3454573059082,346.11690185546877,-1545.2846080773816,0.05,1.0
79,368.85284866333006,344.24179641723634,-1165.187822876802,0.05,1.0
80,344.6276084899902,341.5619143676758,-1156.480223453826,0.05,1.0
81,375.214836769104,339.7626155090332,-939.4536183261107,0.05,1.0
82,317.99382413864134,335.02487380981444,-1518.854823839615,0.05,1.0
83,335.77620349884035,332.90581665039065,-1397.9272546213263,0.05,1.0
84,342.87969007492063,331.01799789428713,-1549.519126367912,0.05,1.0
85,325.68951051712037,327.637557220459,-1525.8953337286825,0.05,1.0
86,352.79633432388306,324.46990844726565,-1228.4818283664297,0.05,1.0
87,316.16029086112974,321.31458084106447,-1625.264672056634,0.05,1.0
88,347.5218959712982,317.1272314453125,-1603.824734498467,0.05,1.0
89,231.4908223247528,315.9942295837402,-1570.4639515316583,0.05,1.0
90,265.18604617118837,313.55912353515623,-828.618572741999,0.05,1.0
91,266.517158203125,312.84237869262694,-1593.0921188745233,0.05,1.0
92,263.5256864833832,312.1060655212402,-1596.7439008652605,0.05,1.0
93,220.16874772548675,312.58199783325193,-795.7354857995201,0.05,1.0
94,313.03995228767394,312.5556076049805,-913.8151283105241,0.05,1.0
95,240.56180740356444,311.730870513916,-1433.1879896301875,0.05,1.0
96,248.81032605648042,311.46931732177734,-1437.2588449442594,0.05,1.0
97,307.61496194839475,311.00865814208987,-658.2137519645069,0.05,1.0
98,248.26684547901152,310.9881080627441,-1429.2590031965847,0.05,1.0
99,255.9778147125244,311.51534576416014,-524.9205669945198,0.05,1.0
100,259.9845751333237,312.2441680908203,-668.9423339106636,0.05,1.0
101,247.46427024841307,313.0901400756836,-825.7076702392934,0.05,1.0
102,232.58081795215605,314.25910354614257,-1.2728423867407799,0.05,1.0
103,285.38421265602113,313.4662605285645,-1056.885490057498,0.05,1.0
104,270.15619668483737,313.26857696533204,-398.60380073966826,0.05,1.0
105,249.1089065504074,311.96441345214845,-537.0565608555526,0.05,1.0
106,237.82655202388764,311.645274810791,-576.2588938575291,0.05,1.0
107,315.6799238395691,310.0722036743164,-543.918154925319,0.05,1.0
108,265.9249436330795,307.07750091552737,-535.1841064138312,0.05,1.0
109,260.04371560573577,306.19633117675784,-630.9388582302868,0.05,1.0
110,238.19905209064484,305.59880310058594,-397.07126417970636,0.05,1.0
111,257.7724696159363,305.8785501098633,-411.3947474052208,0.05,1.0
112,227.57445532798766,305.64916397094726,-834.4715794864047,0.05,1.0
113,286.92401981830596,305.40669311523436,-660.7992974011374,0.05,1.0
114,234.41060039520264,305.69781845092774,-617.5395624716325,0.05,1.0
115,228.0522752046585,306.3946305847168,-700.4100858658812,0.05,1.0
