,critic,actor,tau,theta
0,7.153606457710266,0.06752315143123269,0.01,0.75
1,19.377908968925475,0.8320904766023159,0.01,0.75
2,19.64244900226593,3.342258475422859,0.01,0.75
3,16.511046404838563,7.802661550045014,0.01,0.75
4,12.473722491264343,13.79499101638794,0.01,0.75
5,11.42163702249527,19.846416749954223,0.01,0.75
6,12.951187705993652,24.04957181930542,0.01,0.75
7,14.360823431015014,28.38444944381714,0.01,0.75
8,16.13972962856293,32.62441898345947,0.01,0.75
9,17.291894884109496,37.416020469665526,0.01,0.75
10,18.12308445453644,42.68387037277222,0.01,0.75
11,19.05630539894104,48.805263957977296,0.01,0.75
12,23.659932599067687,55.22996690750122,0.01,0.75
13,25.817979741096497,62.808217487335206,0.01,0.75
14,28.736640481948854,71.17481397628784,0.01,0.75
15,38.358540959358216,79.56069667816162,0.01,0.75
16,44.98760409355164,88.15949398040772,0.01,0.75
17,49.55418186664581,97.06845733642578,0.01,0.75
18,51.84815679550171,106.37390426635743,0.01,0.75
19,65.71982407569885,115.01149406433106,0.01,0.75
20,63.52323902130127,124.2291178894043,0.01,0.75
21,74.05740735054016,133.28303028106689,0.01,0.75
22,95.71372077941895,142.15198837280275,0.01,0.75
23,100.4732336616516,150.3355549621582,0.01,0.75
24,109.59597630500794,158.74903129577638,0.01,0.75
25,116.8634152317047,166.6163035583496,0.01,0.75
26,109.00428548812866,174.6511548614502,0.01,0.75
27,127.98940468788147,182.05365936279296,0.01,0.75
28,160.24956533432007,188.47424293518065,0.01,0.75
29,160.41911337852477,195.12068145751954,0.01,0.75
30,143.96020899772645,201.09566337585449,0.01,0.75
31,177.56466919898986,207.4836173248291,0.01,0.75
32,175.97513719558717,212.85979957580565,0.01,0.75
33,192.92039078712463,218.7326895904541,0.01,0.75
34,202.28683755874633,223.32867088317872,0.01,0.75
35,199.7172058105469,228.67932022094726,0.01,0.75
36,206.1587213230133,233.0283073425293,0.01,0.75
37,223.47245185852051,237.03326179504396,0.01,0.75
38,227.106260471344,240.35469284057618,0.01,0.75
39,241.56982788085938,244.12325569152833,0.01,0.75
40,237.61166611671447,247.8759114074707,0.01,0.75
41,234.15895750045777,251.36849494934083,0.01,0.75
42,222.605227766037,254.56602981567383,0.01,0.75
43,232.89092418670654,258.2407178497314,0.01,0.75
44,246.06166823387147,261.15329147338866,0.01,0.75
45,228.98250928878784,264.5549764251709,0.01,0.75
46,273.9923326301575,266.41420547485353,0.01,0.75
47,257.46739295959475,269.1398211669922,0.01,0.75
48,234.03966396331788,271.2399519348144,0.01,0.75
49,265.4650609970093,273.7076600646973,0.01,0.75
50,251.3498258495331,275.5935874938965,0.01,0.75
51,243.5086906528473,277.9071803283691,0.01,0.75
52,245.39955379486085,280.10946990966795,0.01,0.75
53,256.0835507965088,282.12599868774413,0.01,0.75
54,288.75873809814453,283.2043768310547,0.01,0.75
55,245.85325953483581,285.1520541381836,0.01,0.75
56,232.45530146598816,287.04711853027345,0.01,0.75
57,287.61293444633486,289.02433135986325,0.01,0.75
58,236.52746216773986,290.54361846923825,0.01,0.75
59,290.02270260810855,291.8231509399414,0.01,0.75
60,298.72771921157835,292.9698278808594,0.01,0.75
61,270.50175130844116,294.75635528564453,0.01,0.75
62,309.40424903869626,295.48952392578127,0.01,0.75
63,292.8210116004944,296.78632385253906,0.01,0.75
64,280.4773303794861,297.889774017334,0.01,0.75
65,257.1425779151916,299.71250244140623,0.01,0.75
66,269.4405484580994,300.63265182495115,0.01,0.75
67,292.62333013534544,301.44122970581054,0.01,0.75
68,280.6743060207367,303.40382385253906,0.01,0.75
69,273.6138626003265,304.1261933898926,0.01,0.75
70,303.77717222213744,305.76931915283205,0.01,0.75
71,302.9702844762802,306.5817620849609,0.01,0.75
72,294.4758177423477,307.42211364746095,0.01,0.75
73,272.7903033161163,309.00012466430667,0.01,0.75
74,284.56414081573485,309.7499102783203,0.01,0.75
75,252.08225990533828,311.3591506958008,0.01,0.75
76,259.43670248031617,312.3334710693359,0.01,0.75
77,262.90673217296603,313.2965447998047,0.01,0.75
78,268.3486021089554,314.22884857177735,0.01,0.75
79,268.8732463288307,315.08635452270505,0.01,0.75
80,254.61705619335174,316.0056904602051,0.01,0.75
81,256.3214805793762,317.3954438781738,0.01,0.75
82,275.2405571818352,318.28962936401365,0.01,0.75
83,266.1814462137222,319.5087437438965,0.01,0.75
84,308.66947291851045,320.15482513427736,0.01,0.75
85,285.70586317539215,320.75914276123046,0.01,0.75
86,311.0499450659752,321.7197358703613,0.01,0.75
87,292.29078276634215,322.8324392700195,0.01,0.75
88,334.6941468715668,323.01893875122073,0.01,0.75
89,222.28509541749955,324.67295974731445,0.01,0.75
90,264.9413893604279,326.10445236206056,0.01,0.75
91,264.86547822237014,327.187212677002,0.01,0.75
92,263.668599858284,328.46760162353513,0.01,0.75
93,234.8034621143341,330.5889210510254,0.01,0.75
94,321.3876650953293,331.84818405151367,0.01,0.75
95,253.78075686454773,333.22322860717776,0.01,0.75
96,266.5339921402931,334.53742904663085,0.01,0.75
97,350.7849136543274,335.7327061462402,0.01,0.75
98,286.08815437078476,336.46880447387696,0.01,0.75
99,293.06852271080015,338.08531188964844,0.01,0.75
100,309.21678006887436,339.1890003967285,0.01,0.75
101,291.089038105011,340.3579626464844,0.01,0.75
102,280.54411674022674,341.76349807739257,0.01,0.75
103,342.1763360452652,342.7335848999023,0.01,0.75
104,323.9813656139374,343.19856369018555,0.01,0.75
105,305.4177552986145,344.2980693054199,0.01,0.75
106,295.6267976307869,346.02564346313477,0.01,0.75
107,380.87174169540407,346.75821151733396,0.01,0.75
108,341.3802863287926,347.55597244262697,0.01,0.75
109,342.46943554878237,348.30647247314454,0.01,0.75
110,321.3766722226143,349.50047256469725,0.01,0.75
111,337.20480075597766,350.6431315612793,0.01,0.75
112,303.1153702998161,352.42738861083984,0.01,0.75
113,382.44816725969315,353.14068740844726,0.01,0.75
114,313.5019501709938,354.79162521362304,0.01,0.75
115,312.4344167685509,356.36408599853513,0.01,0.75
116,302.5169476056099,357.63242706298826,0.01,0.75
117,363.0985513424873,358.448180847168,0.01,0.75
118,327.88257615566255,360.0345600891113,0.01,0.75
119,319.07851860761645,361.00500778198244,0.01,0.75
120,336.23651124715803,361.85299407958985,0.01,0.75
121,328.9753065729141,363.35446594238283,0.01,0.75
122,336.84664895296095,363.8505609130859,0.01,0.75
123,328.7370559811592,365.34297119140626,0.01,0.75
124,354.1499593377113,366.058484954834,0.01,0.75
125,324.01484936475754,367.31067443847655,0.01,0.75
126,353.19387853622436,368.0552607727051,0.01,0.75
127,343.9796107006073,368.7681118774414,0.01,0.75
128,338.9040355563164,370.2572383117676,0.01,0.75
129,367.77747732400894,370.96864364624025,0.01,0.75
130,371.40802023887636,371.72939193725585,0.01,0.75
131,362.5620511984825,371.975556640625,0.01,0.75
132,304.9200956273079,373.18116226196287,0.01,0.75
133,355.46483041286467,373.87286682128905,0.01,0.75
134,371.8649584960938,374.7302439880371,0.01,0.75
135,336.7658429121971,375.3169450378418,0.01,0.75
136,353.7369987201691,376.2034216308594,0.01,0.75
137,316.076389067173,377.49544799804687,0.01,0.75
138,397.0815950846672,377.5425778198242,0.01,0.75
139,387.2816168618202,377.44422073364257,0.01,0.75
140,375.19211038827893,378.08574249267576,0.01,0.75
