,critic,actor,cum_rewards,tau,theta
0,12.12397361755371,0.18522626981139184,-1360.5495989565914,0.01,0.25
1,28.557454977035523,1.074209825694561,-1499.5409724853157,0.01,0.25
2,24.837428340911867,2.6003989309072493,-1136.9202453573253,0.01,0.25
3,20.640630497932435,4.536489394903183,-1662.1628597507984,0.01,0.25
4,19.340605592727663,6.967941956520081,-1804.3803004751558,0.01,0.25
5,17.774283156394958,9.885080065727234,-1652.6277625601729,0.01,0.25
6,16.521780943870546,13.329405102729798,-1696.5973270666757,0.01,0.25
7,16.004004616737365,17.416147899627685,-1902.101168067311,0.01,0.25
8,15.664309153556824,21.912738542556763,-1857.5142497203356,0.01,0.25
9,14.852767038345338,27.478570709228517,-1695.4362480816285,0.01,0.25
10,14.114698867797852,33.68205954551697,-1733.183952863696,0.01,0.25
11,14.215995178222656,40.60062791824341,-1664.4575885157005,0.01,0.25
12,15.660712761878967,48.30815895080566,-1529.2232893623855,0.01,0.25
13,18.00765665054321,56.39281593322754,-1485.4298720646198,0.01,0.25
14,20.80367742061615,65.09358085632324,-1398.639525679551,0.01,0.25
15,24.835124173164367,73.77318313598633,-1408.5255147194239,0.01,0.25
16,30.985933351516724,82.37978885650635,-1409.2230299098724,0.01,0.25
17,35.57235669612884,90.82970890045166,-1574.0973052632298,0.01,0.25
18,38.12738650798798,99.64672031402588,-1316.9434561012818,0.01,0.25
19,45.68459803581238,108.11321449279785,-1450.4833149222047,0.01,0.25
20,48.38044252872467,116.37050559997559,-1449.5033256075712,0.01,0.25
21,56.00251162528992,124.57415515899658,-1487.8859619179843,0.01,0.25
22,70.78138650417328,132.41746410369873,-1468.4789529212717,0.01,0.25
23,75.40200387001038,139.6515439605713,-1460.78226649937,0.01,0.25
24,76.16144346237182,147.63659202575684,-983.7857746811686,0.01,0.25
25,90.35636569023133,154.78464630126953,-1512.5488960697435,0.01,0.25
26,93.36572571754455,162.00879943847656,-1452.5160668450376,0.01,0.25
27,97.04026908874512,168.79563461303712,-1209.686654983495,0.01,0.25
28,127.19083863258362,175.58927047729492,-1097.7245903920466,0.01,0.25
29,128.7362372112274,181.5273780822754,-1508.3156186394035,0.01,0.25
30,122.7155106163025,187.09486808776856,-1502.435703168517,0.01,0.25
31,142.59884915351867,192.91916107177735,-1491.7060973279283,0.01,0.25
32,138.4372710609436,198.4257967376709,-1516.4068458553925,0.01,0.25
33,148.53975866317748,203.26404434204102,-1490.2032887966247,0.01,0.25
34,160.52551268577577,208.24087966918944,-1004.139381900819,0.01,0.25
35,161.00478236198424,212.3588974761963,-1522.6413191334982,0.01,0.25
36,155.42407797813416,217.4423291015625,-1505.463450172929,0.01,0.25
37,172.01789563179017,221.68754463195802,-1478.9312510837806,0.01,0.25
38,189.3723871612549,225.53004020690918,-1516.6191052616973,0.01,0.25
39,185.7459568977356,228.82253021240234,-1510.866230430146,0.01,0.25
40,196.94377047538757,232.84406982421876,-1463.709066671374,0.01,0.25
41,191.27024222373961,236.56890739440917,-1459.8046870191074,0.01,0.25
42,184.18670204162598,239.2684098815918,-1082.8789221472225,0.01,0.25
43,203.865689535141,242.82848960876464,-1493.6649128732388,0.01,0.25
44,195.73104591369628,245.69912841796875,-1481.4924488272854,0.01,0.25
45,195.20225700378418,249.06533172607422,-1284.3890443517557,0.01,0.25
46,203.9318605041504,252.2753337097168,-1436.849289998083,0.01,0.25
47,203.85675912857056,255.41972679138183,-1478.308457608352,0.01,0.25
48,208.80560832023622,258.09351837158204,-1383.9103116096899,0.01,0.25
49,207.95730113983154,260.7772507476807,-1489.905240554696,0.01,0.25
50,225.4793019771576,262.4621395111084,-1502.8298141952837,0.01,0.25
51,218.91326922416687,266.0359228515625,-1444.9461218152042,0.01,0.25
52,210.3191665649414,268.34528289794923,-1493.7468431877978,0.01,0.25
53,219.24233964920043,270.7656883239746,-1401.9571326526343,0.01,0.25
54,235.5943420124054,272.4661680603027,-1547.180514549815,0.01,0.25
55,205.28336378097535,275.27375366210936,-1409.5116915933295,0.01,0.25
56,209.67925079345704,277.1585957336426,-1510.9233784713479,0.01,0.25
57,246.0875446510315,278.9416213989258,-1190.0100216339347,0.01,0.25
58,225.71006596565246,281.0251567077637,-1194.7907219799565,0.01,0.25
59,257.2011865234375,282.7738166809082,-1508.079973917509,0.01,0.25
60,262.2476396846771,284.5219493103027,-1495.3089724939598,0.01,0.25
61,241.09499643325805,286.4086375427246,-1428.8970960500367,0.01,0.25
62,279.2316035461426,287.80844772338867,-1581.5220443667272,0.01,0.25
63,277.6972347164154,289.4104431152344,-1357.5330835168634,0.01,0.25
64,272.74845863342284,291.9685841369629,-1345.1784742360749,0.01,0.25
65,262.5069153404236,293.31529388427737,-1166.4182759085165,0.01,0.25
66,249.93519248962403,295.4014642333984,-1415.064458574292,0.01,0.25
67,287.53784574508666,296.93138244628904,-1416.3286532169827,0.01,0.25
68,278.2875396919251,299.1162451171875,-1340.1789504882604,0.01,0.25
69,269.4697933387756,300.72737701416014,-1514.4266651746182,0.01,0.25
70,287.052807674408,302.013544921875,-1246.7472244356672,0.01,0.25
71,287.6013671302795,303.8353981018066,-1285.0825911123688,0.01,0.25
72,280.6075860309601,305.7547787475586,-1446.5242155728758,0.01,0.25
73,269.4478401565552,307.0413911437988,-1393.114120515965,0.01,0.25
74,251.28532526016235,308.3563902282715,-1112.1939100777226,0.01,0.25
75,237.5710806274414,310.7397439575195,-1444.1780703204104,0.01,0.25
76,239.38496110916137,312.3303970336914,-1446.6044902534481,0.01,0.25
77,263.9473001289368,313.937684173584,-1453.049865183535,0.01,0.25
78,264.3604050397873,315.2348849487305,-1451.3993417291051,0.01,0.25
79,257.0381256198883,317.1371853637695,-1378.719372934954,0.01,0.25
80,250.48376425743103,318.8006178283691,-1353.7408480710073,0.01,0.25
81,265.0848603820801,320.98877151489256,-1508.3927802380676,0.01,0.25
82,261.3670486068726,322.1276045227051,-1464.6175131384628,0.01,0.25
83,259.4192353057861,323.34499923706056,-1342.0915393518117,0.01,0.25
84,297.8441252708435,324.90818572998046,-1498.5278228385612,0.01,0.25
85,281.3147479724884,325.8477700805664,-1416.8044822774718,0.01,0.25
86,302.4159642648697,326.70201293945314,-973.6604938607763,0.01,0.25
87,287.15862429142,327.96463760375974,-1346.1491557204804,0.01,0.25
88,328.5944173526764,328.6616990661621,-1427.5884595528003,0.01,0.25
89,213.73052260398865,330.4141906738281,-1080.3530084519325,0.01,0.25
90,261.86226335525515,332.3619578552246,-1479.8607752540115,0.01,0.25
91,265.16666850566867,333.43701370239256,-1473.0345273812134,0.01,0.25
92,265.29387800216676,335.5306770324707,-1362.4728096449794,0.01,0.25
93,234.61119458198547,337.2885159301758,-1236.4209208775662,0.01,0.25
94,319.44883584976196,338.4009620666504,-1502.4353332508124,0.01,0.25
95,251.33525027751924,340.0552752685547,-1451.5425137035745,0.01,0.25
96,267.9566458845139,341.3692236328125,-1311.234873531756,0.01,0.25
97,349.84826074123384,342.7456657409668,-1493.2782606114106,0.01,0.25
98,280.51382167339324,343.67048828125,-1371.3882874964286,0.01,0.25
99,285.92039187431334,345.37309600830076,-1432.060760236199,0.01,0.25
100,305.57767405986783,346.6223905944824,-130.1551719969409,0.01,0.25
101,285.6300458097458,347.7678741455078,-1340.910019824893,0.01,0.25
102,275.08729979991915,348.96510482788085,-1232.5444866670418,0.01,0.25
103,336.30068086624146,349.67587265014646,-1293.4313082666013,0.01,0.25
104,326.0421652460098,350.4909666442871,-1355.7332881712414,0.01,0.25
105,308.6935436630249,351.7440145874023,-1212.5112508899306,0.01,0.25
106,303.52525089740755,353.0877632141113,-835.6575022772697,0.01,0.25
107,392.83711890220644,353.45234619140626,-1496.889303737976,0.01,0.25
108,338.6540033721924,354.183203125,-1112.9756759260906,0.01,0.25
109,347.49387392044065,354.542706451416,-774.9526303634057,0.01,0.25
110,319.855048251152,355.3391404724121,-1015.4354028300465,0.01,0.25
111,344.64446628570556,356.0765382385254,-1407.4957152286177,0.01,0.25
112,307.37439515590665,357.1311427307129,-1305.4355301710377,0.01,0.25
113,386.4462738990784,357.84877548217776,-1358.4761920538979,0.01,0.25
114,312.88888923168184,358.65510223388674,-1494.1576080578218,0.01,0.25
115,310.4674575853348,359.69808990478515,-1242.4640352765718,0.01,0.25
116,301.48567115306855,360.6342071533203,-1154.708797270071,0.01,0.25
117,362.34982845067975,361.15474716186526,-1376.7230056044518,0.01,0.25
118,329.7121615815163,362.1009962463379,-1497.8083891861402,0.01,0.25
119,324.1193640136719,363.0214437866211,-1438.2025486138168,0.01,0.25
120,339.4438626766205,363.91454620361327,-1331.5136653439672,0.01,0.25
121,327.85626116752627,364.7317347717285,-1364.0419496935597,0.01,0.25
122,331.937528758049,365.0412614440918,-1382.1463448139375,0.01,0.25
123,330.96604450702665,366.1614352416992,-914.5406687941609,0.01,0.25
124,357.04971021413803,366.2997068786621,-1358.547943737275,0.01,0.25
125,319.370660367012,367.5461676025391,-1486.0561554875856,0.01,0.25
